GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
8007,3215-GS-202208,,5.448009,10,gds-udeep-v3_g395m-f290lp_3215_202208.spec.fits,202208,53.1640684,-27.79972020000002,G395M,F290LP,2771.889,120,jw03215001004_03101_00001_nrs1,jw03215001004_01_msa.fits,1,1,1,49,gds-udeep-v3,1212,1,2.8794382,5.199619,3.2289143,0.46135825,0.013722886,0.019419895,2.1623354,0.062264506,0.025996134,4.181765,0.23039709,0.0808856,1325,1718,724,26,0.0,321.08878,0.0,-0.001,0.2707469,1716574506.818,0.8.5.dev7+g25edcb0,332626.7
10197,GLASS-ABELL2744-150008,,6.2281814,9,abell2744-glass-v3_g235h-f170lp_1324_150008.spec.fits,150008,3.602529930022035,-30.41923238255771,G235H,F170LP,1458.889,24,jw01324006001_07101_00002_nrs2,jw01324006001_01_msa.fits,194,1,2,89,abell2744-glass-v3,2409,1,1.6999772,2.6703658,2.5293143,-0.33802956,-0.036073036,0.0904212,1.6121343,0.16876924,0.10394787,3.7083836,0.3903969,0.12246563,1,1543,2048,40,0.0,43.195553,0.0,-0.001,0.78865206,1719573270.399,0.8.6.dev12+g3079e73,35013.336
10197,GLASS-ABELL2744-150008,,6.2281814,9,abell2744-glass-v3_g140h-f100lp_1324_150008.spec.fits,150008,3.602529930022035,-30.41923238255771,G140H,F100LP,1458.889,24,jw01324006001_03101_00001_nrs2,jw01324006001_01_msa.fits,1,1,1,89,abell2744-glass-v3,2541,1,0.98010665,1.59256,1.37836,0.09133095,0.009132344,0.07514579,2.193904,0.2035735,0.09258308,4.297203,0.40584657,0.12469673,1,1538,2048,44,0.0,43.195538,0.0,0.001,0.78865206,1719573256.022,0.8.6.dev12+g3079e73,35013.336
10197,GLASS-ABELL2744-150008,,6.2281814,9,abell2744-glass-v3_g395h-f290lp_1324_150008.spec.fits,150008,3.602529930022035,-30.41923238255771,G395H,F290LP,1458.889,24,jw01324006001_11101_00002_nrs1,jw01324006001_01_msa.fits,196,1,2,89,abell2744-glass-v3,2399,1,2.8801086,4.504514,3.62032,-0.64020234,-0.067490056,0.07919588,1.4265803,0.14605051,0.10002703,3.6814497,0.37450096,0.15015438,1762,1542,287,24,0.0,43.195496,0.0,0.001,0.78865206,1719573243.814,0.8.6.dev12+g3079e73,35013.336
12405,2478-A1703-23,,6.0880165,6,stark-a1703-v3_g395m-f290lp_2478_23.spec.fits,23,198.7559517168744,51.80725141372184,G395M,F290LP,510.611,6,jw02478002001_07101_00001_nrs2,jw02478002001_01_msa.fits,48,1,1,16,stark-a1703-v3,1197,1,2.8794382,5.199619,3.5494096,-0.3822867,-0.3048703,0.3972238,0.99987453,0.6351705,0.6503825,2.5326638,1.9533906,1.3639596,1,393,721,26,0.0,195.69127,0.0,0.0009999999,1.2702695,1716508279.369,0.8.4,3063.666
12405,2478-A1703-23,,6.0880165,6,stark-a1703-v3_g140m-f100lp_2478_23.spec.fits,23,198.7559517168744,51.80725141372184,G140M,F100LP,2188.333,6,jw02478002001_05101_00002_nrs1,jw02478002001_01_msa.fits,1,1,1,16,stark-a1703-v3,1336,1,0.98,1.88,1.2272,1.4132931,0.32114106,0.10324074,3.5544286,0.5936657,0.16138114,6.3877687,0.8867781,0.3019495,1431,406,618,24,0.0,195.69115,0.0,0.001,1.2702695,1716508276.227,0.8.4,13129.998
12431,2478-A1703-6,,7.044,6,stark-a1703-v3_g140m-f100lp_2478_6.spec.fits,6,198.7542339022746,51.83466342610234,G140M,F100LP,2188.333,6,jw02478002001_05101_00002_nrs1,jw02478002001_01_msa.fits,1,1,1,23,stark-a1703-v3,1336,1,0.98,1.88,1.2482,0.8636008,0.08439695,0.043232005,3.2504718,0.20744307,0.0626668,6.10865,0.33104512,0.12509386,1080,1270,969,27,0.0,195.69115,0.0,0.001,0.26654804,1716508291.639,0.8.4,13129.998
12431,2478-A1703-6,,7.044,6,stark-a1703-v3_g395m-f290lp_2478_6.spec.fits,6,198.7542339022746,51.83466342610234,G395M,F290LP,510.611,6,jw02478002001_07101_00001_nrs1,jw02478002001_01_msa.fits,48,1,1,23,stark-a1703-v3,1198,1,2.8794382,5.199619,4.0284476,-0.8388065,-0.32189047,0.17041188,0.507496,0.13796274,0.24489,1.9483564,0.72351164,0.9196909,1206,1257,843,27,0.0,195.69127,0.0,0.001,0.26654804,1716508295.386,0.8.4,3063.666
14689,JADES-GN-38184,,5.04748,20,jades-gdn-v3_g140m-f070lp_1181_38184.spec.fits,38184,189.2128062,62.1486365,G140M,F070LP,1021.222,6,jw01181098001_15101_00001_nrs1,jw01181098001_04_msa.fits,525,4,1,553,jades-gdn-v3,769,1,0.7004,1.2602,1.1276,0.773651,0.084783874,0.07739306,2.4353206,0.27876922,0.104688376,4.170065,1.2227284,0.47832808,1705,1633,344,24,0.0,133.25151,0.0,0.001,0.53126705,1716584195.767,0.8.5.dev7+g25edcb0,6127.332
14689,JADES-GN-38184,,5.04748,20,jades-gdn-v3_g395m-f290lp_1181_38184.spec.fits,38184,189.2128062,62.1486365,G395M,F290LP,1021.222,3,jw01181098001_19101_00001_nrs2,jw01181098001_04_msa.fits,674,4,1,553,jades-gdn-v3,1361,1,2.8811429,5.199619,3.0260477,-0.6168697,-0.11113975,0.09738592,1.1928318,0.17177474,0.13678879,3.070272,0.44962475,0.29772434,66,1620,1370,34,0.0,133.2514,0.0,0.001,0.53126705,1716584198.814,0.8.5.dev7+g25edcb0,3063.666
