file,GroupID,root,grating,srcid,ra,dec,z_manual,observable_ArIII_3005,sn_ArIII_3005,observable_ArIV_2689,sn_ArIV_2689,observable_ArIV_2854,sn_ArIV_2854,observable_ArV_2691,sn_ArV_2691,observable_CIII_1906,sn_CIII_1906,observable_CIII_1908,sn_CIII_1908,observable_CIV_1549,sn_CIV_1549,observable_CIV_1551,sn_CIV_1551,observable_HeII_1640,sn_HeII_1640,observable_Lya_1215,sn_Lya_1215,observable_MgV_1325,sn_MgV_1325,observable_MgV_2783,sn_MgV_2783,observable_NIII_1750,sn_NIII_1750,observable_NII_3063,sn_NII_3063,observable_NIV_1483,sn_NIV_1483,observable_NIV_1487,sn_NIV_1487,observable_NeIII_1815,sn_NeIII_1815,observable_NeIV_1602,sn_NeIV_1602,observable_NeIV_2422,sn_NeIV_2422,observable_NeV_1575,sn_NeV_1575,observable_OIII_1660,sn_OIII_1660,observable_OIII_1665,sn_OIII_1665,observable_OIII_2321,sn_OIII_2321,observable_OII_2471,sn_OII_2471,observable_OI_2972,sn_OI_2972,observable_SiIII_1883,sn_SiIII_1883,observable_SiIII_1892,sn_SiIII_1892,observable_ArIV_4711,sn_ArIV_4711,observable_ArIV_4740,sn_ArIV_4740,observable_CII_4267,sn_CII_4267,observable_Hb_4861,sn_Hb_4861,observable_Hd_4103,sn_Hd_4103,observable_HeII_4687,sn_HeII_4687,observable_Hg_4342,sn_Hg_4342,observable_NII_5756,sn_NII_5756,observable_NI_3466,sn_NI_3466,observable_NI_5200,sn_NI_5200,observable_NeIII_3343,sn_NeIII_3343,observable_NeIII_3867,sn_NeIII_3867,observable_NeIII_3967,sn_NeIII_3967,observable_NeV_3426,sn_NeV_3426,observable_OIII_4363,sn_OIII_4363,observable_OIII_4959,sn_OIII_4959,observable_OIII_5007,sn_OIII_5007,observable_OII_3727,sn_OII_3727,observable_OII_3729,sn_OII_3729,observable_SIII_3722,sn_SIII_3722,observable_SII_4070,sn_SII_4070,observable_SII_4078,sn_SII_4078,observable_ArV_6134,sn_ArV_6134,observable_ArIII_7136,sn_ArIII_7136,observable_Ha_6565,sn_Ha_6565,observable_NII_6549,sn_NII_6549,observable_NII_6584,sn_NII_6584,observable_OII_7323,sn_OII_7323,observable_OII_7332,sn_OII_7332,observable_OI_6364,sn_OI_6364,observable_SIII_6314,sn_SIII_6314,observable_SIII_9531,sn_SIII_9531,observable_SII_6717,sn_SII_6717,observable_SII_6731,sn_SII_6731,PROG_ID
jades-gdn2-blue-v3_g140m-f100lp_1181_1223.spec.fits,245,jades-gdn2-blue-v3,G140M,1223,189.1203431,62.2948639,6.5904593,,,,,,,,,,,,,1.0,-0.6988608579882319,1.0,0.1910613470021784,1.0,-0.0637997502646949,,,1.0,0.6952933410661715,,,,,,,1.0,0.9384753880673252,1.0,1.5896706845030353,,,1.0,0.8431684308438702,,,1.0,0.1861863601154566,1.0,0.7725074951560719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1223
jades-gdn2-blue-v3_g140m-f100lp_1181_1560.spec.fits,249,jades-gdn2-blue-v3,G140M,1560,189.1003092,62.2308525,5.1970644,,,1.0,-0.7889225684680065,1.0,-1.4926688986511962,1.0,-0.0536136287046237,1.0,2.545514378374727,1.0,2.977666079398317,,,,,1.0,-1.8888371127093284,,,,,1.0,-1.5653102412899578,1.0,-0.2763530507617815,,,,,,,1.0,-2.4722284652342132,1.0,-2.519069905273713,,,,,1.0,1.6330171607044754,1.0,0.5500512655999664,,,,,,,1.0,0.0081402593806543,1.0,1.078730648906317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1560
jades-gdn2-blue-v3_g140m-f100lp_1181_1580.spec.fits,250,jades-gdn2-blue-v3,G140M,1580,189.0949072,62.2394625,5.301351,,,,,1.0,0.0344110244807959,,,1.0,4.362442622047302,1.0,3.4308135462884617,,,,,1.0,0.8067141523440453,,,,,,,1.0,0.8291092410119045,,,,,,,1.0,-1.707487285246691,1.0,-0.6382492019606367,,,1.0,-0.926302254254418,1.0,-1.624206821942414,1.0,-0.947943639200129,,,,,,,1.0,-0.0234225932577942,1.0,1.4386978166183786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1580
jades-gdn2-blue-v3_g140m-f100lp_1181_1617.spec.fits,253,jades-gdn2-blue-v3,G140M,1617,189.1657775,62.2541969,5.115589,1.0,-0.413291700046814,1.0,3.3734380270459914,1.0,2.4220990362011037,1.0,1.3136901438842237,1.0,3.3909566430982405,1.0,2.2548978849021983,,,,,1.0,-1.181320579904478,,,,,1.0,0.0267309206520795,1.0,-0.1793139300709344,,,,,,,1.0,-0.8182372826868632,1.0,-2.794267334947302,,,,,1.0,-0.3606792573287092,1.0,-1.1871330522083576,,,,,1.0,0.1660534557555545,1.0,2.2040074954714624,1.0,-0.8310965155581679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1617
jades-gdn2-blue-v3_g140m-f100lp_1181_1655.spec.fits,255,jades-gdn2-blue-v3,G140M,1655,189.0927242,62.2660416,4.482636,1.0,-0.123372872495147,1.0,1.0848894360681798,1.0,2.392372294079318,1.0,-0.7726253372415017,1.0,3.2833266282468156,1.0,2.593004967127324,,,,,,,,,,,1.0,0.6867840360176565,,,1.0,-1.0901719899081896,,,,,1.0,1.3812576802337484,,,,,,,,,,,,,,,1.0,0.6662314029303169,1.0,0.0850599508799921,1.0,0.8934812984917296,,,,,,,,,,,,,,,,,,,,,1.0,1.4900037612732835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1655
jades-gdn2-blue-v3_g140m-f100lp_1181_1674.spec.fits,256,jades-gdn2-blue-v3,G140M,1674,189.1311447,62.2703514,4.0254135,1.0,-1.004551336598619,1.0,0.8842698552506825,1.0,-1.79150547857709,1.0,1.9761117567543205,,,,,,,,,,,,,,,1.0,-0.0391959963058649,,,1.0,0.1195862760895421,,,,,,,,,1.0,-0.5048282972580468,,,,,,,1.0,-0.4847617392929828,1.0,-0.0164163098092977,1.0,-3.27559297776095,,,,,,,,,,,,,,,,,,,,,1.0,0.4072407611867388,,,1.0,1.1293677121751382,,,,,1.0,2.260413775469926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1674
jades-gdn2-v3_g140m-f070lp_1181_1716.spec.fits,259,jades-gdn2-v3,G140M,1716,189.1156472,62.2965933,4.912143,,,,,,,,,1.0,1.0149117134645196,1.0,0.882069742713729,,,,,1.0,0.1194994901727116,,,,,,,1.0,-2.364959767718637,,,,,,,1.0,0.1541325487709193,,,,,,,1.0,1.634785096800221,1.0,1.6204490111597407,,,,,,,1.0,3.0087662399706994,1.0,2.8318907750580524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1716
jades-gdn2-blue-v3_g140m-f100lp_1181_1882.spec.fits,261,jades-gdn2-blue-v3,G140M,1882,189.0886216,62.2394889,5.443736,,,1.0,-1.0362813297628952,1.0,2.1256156172019085,1.0,-0.4108670530391962,1.0,2.8613831961222473,1.0,3.4469146406983673,1.0,-1.9088631220824976,1.0,-1.4480212384666449,1.0,1.473465640471308,,,,,1.0,0.9426682183274367,1.0,-0.8185405631888398,,,,,,,1.0,0.789127570113474,1.0,1.19299578433408,,,1.0,1.3389631624312952,1.0,3.932352272506801,1.0,-0.1636175154559407,,,,,,,1.0,-2.4887500227298576,1.0,-1.6392572481572865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1882
jades-gdn2-blue-v3_g140m-f100lp_1181_1893.spec.fits,262,jades-gdn2-blue-v3,G140M,1893,189.2053137,62.25077410000001,6.9886765,,,,,,,,,,,,,1.0,-2.872873702893271,1.0,-1.0238818727185472,,,,,1.0,-0.1269392840526165,,,,,,,1.0,-0.4927771073685489,1.0,-1.2500370204000495,,,,,,,1.0,-1.3688076584280018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1893
jades-gdn2-blue-v3_g140m-f100lp_1181_1899.spec.fits,263,jades-gdn2-blue-v3,G140M,1899,189.1977398,62.25696400000001,8.279503,,,,,,,,,,,,,,,,,,,1.0,28.038986215439575,1.0,4.760573656776065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1899
