GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
3245,1210-GS-9489,,4.0242248,20,gds-deep-v3_g235m-f170lp_1210_9489.spec.fits,9489,53.168717,-27.81517430000002,G235M,F170LP,2771.889,9,jw01210001002_13101_00001_nrs1,jw01210001002_02_msa.fits,315,2,1,285,gds-deep-v3,1305,1,1.7003809,3.0168,2.5150666,-0.3631282,-0.027782451,0.06317953,1.9277134,0.14152369,0.0728874,4.2032204,0.31695652,0.100710385,760,1949,1289,32,0.0,321.06937,0.0,-0.001,1.25009,1716566344.24,0.8.5.dev7+g25edcb0,24947.002
3245,1210-GS-9489,,4.0242248,20,gds-deep-v3_g395m-f290lp_1210_9489.spec.fits,9489,53.168717,-27.81517430000002,G395M,F290LP,2771.889,9,jw01210001001_09101_00001_nrs1,jw01210001001_01_msa.fits,116,1,1,89,gds-deep-v3,1248,1,2.8794382,5.005276,3.2971048,-0.22896539,-0.017885324,0.048168916,1.9111004,0.13235456,0.06837525,4.2694206,0.3140652,0.13804926,839,1930,1210,32,0.0,321.08688,0.0,-0.001,1.25009,1716566364.349,0.8.5.dev7+g25edcb0,24947.002
3249,1210-GS-9515,,4.648017,20,gds-deep-v3_g140m-f070lp_1210_9515.spec.fits,9515,53.1328434,-27.80185390000003,G140M,F070LP,2771.889,9,jw01210001003_09101_00001_nrs1,jw01210001003_01_msa.fits,125,1,1,81,gds-deep-v3,934,1,0.7004,1.2602,1.0772,-0.59557986,-0.01835814,0.018201597,1.3821632,0.034379236,0.02313112,3.5376642,0.09514368,0.054823212,514,810,915,31,0.0,321.08374,0.0,-0.001,0.23894875,1716566593.509,0.8.5.dev7+g25edcb0,24947.002
3249,1210-GS-9515,,4.648017,20,gds-deep-v3_g235m-f170lp_1210_9515.spec.fits,9515,53.1328434,-27.80185390000003,G235M,F170LP,2771.889,18,jw01210001003_07101_00001_nrs2,jw01210001003_01_msa.fits,124,1,1,81,gds-deep-v3,1280,1,1.7003809,3.150057,2.7472572,0.013335991,0.0003161722,0.022235326,2.0153651,0.05714525,0.026417093,4.273379,0.12316398,0.04630091,1,809,221,24,0.0,321.0836,0.0,-0.0009999999,0.23894875,1716566566.671,0.8.5.dev7+g25edcb0,49894.004
3249,1210-GS-9515,,4.648017,20,gds-deep-v3_g395h-f290lp_1210_9515.spec.fits,9515,53.1328434,-27.80185390000003,G395H,F290LP,2771.889,18,jw01210001002_15101_00001_nrs1,jw01210001002_02_msa.fits,316,2,1,273,gds-deep-v3,3149,1,2.8801086,4.976423,3.7078514,-1.0049245,-0.1010105,0.047182504,0.98072517,0.07734168,0.0781137,3.0905821,0.27558658,0.17034295,1075,820,974,27,0.0,321.06927,0.0,0.001,0.23894875,1716566587.514,0.8.5.dev7+g25edcb0,49894.004
3249,1210-GS-9515,,4.648017,20,gds-deep-v3_g395m-f290lp_1210_9515.spec.fits,9515,53.1328434,-27.80185390000003,G395M,F290LP,2771.889,18,jw01210001001_09101_00001_nrs1,jw01210001001_01_msa.fits,116,1,1,77,gds-deep-v3,1205,1,2.8794382,5.199619,3.7079525,-0.18401751,-0.009166817,0.020878352,1.9775226,0.060667038,0.02763448,4.426099,0.15146293,0.088474646,1056,795,993,28,0.0,321.08688,0.0,0.001,0.23894875,1716566574.729,0.8.5.dev7+g25edcb0,49894.004
3263,JADES-GS-9891,,4.7746134,36,jades-gds-wide-v3_g395m-f290lp_1180_9891.spec.fits,9891,53.1671854,-27.77460600000001,G395M,F290LP,1021.222,6,jw01180029001_17101_00001_nrs1,jw01180029001_04_msa.fits,723,4,1,605,jades-gds-wide-v3,1198,1,2.8794382,5.199619,2.8913715,-1.2845976,-0.21308064,0.08963186,0.50841814,0.06613835,0.14276549,2.2873173,0.3493002,0.3042159,1877,458,172,24,0.0,308.06927,0.0,0.001,0.38586673,1716604495.095,0.8.5.dev7+g25edcb0,6127.332
3263,JADES-GS-9891,,4.7746134,36,jades-gds-wide-v3_g140m-f070lp_1180_9891.spec.fits,9891,53.1671854,-27.77460600000001,G140M,F070LP,1021.222,6,jw01180029001_13101_00001_nrs1,jw01180029001_04_msa.fits,525,4,1,605,jades-gds-wide-v3,767,1,0.7004,1.2596,0.809,-1.0832701,-0.14181131,0.07563668,0.69438666,0.08181315,0.11249191,2.2454398,0.387428,0.39288267,1328,470,721,26,0.0,308.0694,0.0,0.0009999998,0.38586673,1716604504.299,0.8.5.dev7+g25edcb0,6127.332
3263,1210-GS-9891,,4.7746134,36,gds-deep-v3_g395m-f290lp_1210_9891.spec.fits,9891,53.1671854,-27.77460600000001,G395M,F290LP,2771.889,3,jw01210001002_17101_00001_nrs2,jw01210001002_02_msa.fits,317,2,1,220,gds-deep-v3,1361,1,2.8811429,5.199619,3.7897809,-1.1640849,-0.09752691,0.040643632,0.81480896,0.051637266,0.061762948,2.8452256,0.23228605,0.16530244,11,1661,1369,33,0.0,321.0693,0.0,0.001,0.33167824,1716566125.374,0.8.5.dev7+g25edcb0,8315.667
3263,JADES-GS-9891,,4.7746134,36,jades-gds-wide-v3_g235m-f170lp_1180_9891.spec.fits,9891,53.1671854,-27.77460600000001,G235M,F170LP,1021.222,6,jw01180029001_15101_00001_nrs1,jw01180029001_04_msa.fits,722,4,1,605,jades-gds-wide-v3,1272,1,1.7003809,3.150057,2.891619,-1.1275115,-0.14363782,0.09174089,0.63993216,0.07774245,0.12465851,2.3260806,0.30730754,0.18412812,1795,471,254,24,0.0,308.06927,0.0,0.001,0.38586673,1716604500.465,0.8.5.dev7+g25edcb0,6127.332
